timestamps,delta_absolute_1,theta_absolute_1,alpha_absolute_1,beta_absolute_1,gamma_absolute_1
1531743883.7564547,,0.257479251179,,,
1531743883.7564616,0.564653886402,,,,
1531743883.8565195,,,0.480280802393,,
1531743883.8565323,,,,,-0.507908761741
1531743883.8565347,,,,0.307623363473,
1531743883.8565347,,0.251901433358,,,
1531743883.8565412,0.5946374494259999,,,,
1531743883.9565995,,,0.328137546999,,
1531743883.9566126,,,,,-0.50746130772
1531743883.9566147,,,,0.30260115222,
1531743883.9566147,,0.248874593036,,,
1531743883.9566212,0.633123531004,,,,
1531743884.0566795,,,0.234747143055,,
1531743884.0566928,,,,,-0.502888063903
1531743884.0566947,,,,0.288763866175,
1531743884.0566947,,0.248872062438,,,
1531743884.0567017,0.678028319568,,,,
1531743884.1567595,,,0.203649651828,,
1531743884.1567724,,,,,-0.492784061559
1531743884.1567748,,,,0.273243890478,
1531743884.156775,,0.246560832619,,,
1531743884.1567814,0.7251629978280001,,,,
1531743884.2568398,,,0.32136317698000005,,
1531743884.2568526,,,,,-0.453062562346
1531743884.256855,,,,0.273302666112,
1531743884.256855,,0.188477801158,,,
1531743884.2568614,0.71621631662,,,,
1531743884.35692,,,0.441473915092,,
1531743884.356933,,,,,-0.407303124014
1531743884.356935,,,,0.274470753733,
1531743884.356935,,0.114595786418,,,
1531743884.3569415,0.6768083382960001,,,,
1531743884.457,,,0.568595819728,,
1531743884.4570134,,,,,-0.355734952743
1531743884.457015,,,,0.268559572891,
1531743884.4570153,,0.03109434459,,,
1531743884.4570215,0.580297490708,,,,
1531743884.55708,,,0.652079752808,,
1531743884.5570931,,,,,-0.304329767604
1531743884.5570953,,,,0.251152005588,
1531743884.5570953,,-0.0443426694718,,,
1531743884.5571015,0.421264611512,,,,
1531743884.65716,,,0.7099352612100001,,
1531743884.6571734,,,,,-0.262794696007
1531743884.6571753,,,,0.225124283053,
1531743884.6571753,,-0.101959189739,,,
1531743884.6571815,0.276413884649,,,,
1531743884.7572405,,,0.743097261795,,
1531743884.7572534,,,,,-0.237920454224
1531743884.7572553,,,,0.191231178241,
1531743884.7572553,,-0.155224589623,,,
1531743884.757262,0.262607224539,,,,
1531743884.8573205,,,0.7479833481229999,,
1531743884.8573337,,,,,-0.23425935568000006
1531743884.8573349,,,,0.152372668699,
1531743884.8573356,,-0.240645136282,,,
1531743884.857342,0.31040878459800003,,,,
1531743884.9574006,,,0.7600385219499999,,
1531743884.9574134,,,,,-0.225819032363
1531743884.9574153,,,,0.168962111754,
1531743884.9574153,,-0.202455939864,,,
1531743884.957422,0.34730935545,,,,
1531743885.0574806,,,0.811567161733,,
1531743885.0574934,,,,,-0.214224669596
1531743885.0574956,,,,0.190688462186,
1531743885.0574956,,-0.121019156192,,,
1531743885.057502,0.357050806212,,,,
1531743885.1575606,,,0.857055493962,,
1531743885.1575735,,,,,-0.203373616184
1531743885.1575756,,,,0.208253082247,
1531743885.1575758,,-0.023375532133900003,,,
1531743885.1575825,0.34693043516800004,,,,
1531743885.2576404,,,0.8611215668100001,,
1531743885.2576535,,,,,-0.197671772586
1531743885.2576554,,,,0.21500614599,
1531743885.257656,,0.0538442857716,,,
1531743885.2576625,0.326447419069,,,,
1531743885.3577206,,,0.8611215668100001,,
1531743885.357734,,,,,-0.1994684202
1531743885.3577359,,,,0.212704616721,
1531743885.3577359,,0.0951496894797,,,
1531743885.3577425,0.302421951596,,,,
1531743885.4578006,,,0.8611215668100001,,
1531743885.457814,,,,,-0.207088880949
1531743885.4578161,,,,0.208038959265,
1531743885.4578161,,0.102175176917,,,
1531743885.4578226,0.278870993543,,,,
1531743885.5578804,,,0.8611215668100001,,
1531743885.557894,,,,,-0.215984666948
1531743885.5578961,,,,0.208116431008,
1531743885.5578961,,0.0898701219465,,,
1531743885.5579026,0.256637752534,,,,
1531743885.6579607,,,0.8611215668100001,,
1531743885.6579742,,,,,-0.221814603659
1531743885.657976,,,,0.215242578011,
1531743885.6579762,,0.07587127636560001,,,
1531743885.6579823,0.235595110748,,,,
1531743885.758041,,,0.8611215668100001,,
1531743885.7580545,,,,,-0.215996801321
1531743885.7580562,,,,0.220723627432,
1531743885.7580562,,0.0842201799134,,,
1531743885.7580626,0.221927020158,,,,
1531743885.8581214,,,0.8589983190639999,,
1531743885.8581345,,,,,-0.205977176247
1531743885.8581364,,,,0.237448571854,
1531743885.8581364,,0.0995273203479,,,
1531743885.8581426,0.208721415873,,,,
1531743885.9582012,,,0.857477987,,
1531743885.9582145,,,,,-0.19525072013
1531743885.9582162,,,,0.266195053754,
1531743885.9582164,,0.126728547202,,,
