timestamps,eeg_1,eeg_2,eeg_3,eeg_4
1531743875.5094438,858.679748535,834.0050048830001,832.360046387,834.0050048830001
1531743875.5139925,855.3897705080001,837.29498291,834.0050048830001,838.940002441
1531743875.518541,861.969726562,842.229919434,840.584960938,840.584960938
1531743875.5230894,857.0347290039999,838.940002441,835.650024414,834.0050048830001
1531743875.5276384,845.519897461,834.0050048830001,840.584960938,835.650024414
1531743875.532187,848.809875488,838.940002441,840.584960938,829.070068359
1531743875.5367355,842.229919434,835.650024414,837.29498291,824.135131836
1531743875.5412846,838.940002441,835.650024414,837.29498291,819.200195312
1531743875.5458329,848.809875488,835.650024414,843.874938965,830.715087891
1531743875.5503814,852.09979248,837.29498291,838.940002441,832.360046387
1531743875.5549302,857.0347290039999,840.584960938,835.650024414,837.29498291
1531743875.5594788,850.454833984,842.229919434,840.584960938,837.29498291
1531743875.5640275,850.454833984,840.584960938,835.650024414,830.715087891
1531743875.5685759,848.809875488,838.940002441,840.584960938,834.0050048830001
1531743875.573125,857.0347290039999,840.584960938,838.940002441,830.715087891
1531743875.5776734,861.969726562,838.940002441,835.650024414,835.650024414
1531743875.582222,855.3897705080001,842.229919434,838.940002441,832.360046387
1531743875.5867708,858.679748535,838.940002441,838.940002441,840.584960938
1531743875.5913193,858.679748535,837.29498291,842.229919434,845.519897461
1531743875.5958679,853.744812012,847.164855957,837.29498291,832.360046387
1531743875.600417,853.744812012,835.650024414,830.715087891,824.135131836
1531743875.6049652,858.679748535,852.09979248,829.070068359,825.7801513669999
1531743875.609514,858.679748535,852.09979248,827.425109863,834.0050048830001
1531743875.6140625,857.0347290039999,850.454833984,822.49017334,832.360046387
1531743875.6186113,857.0347290039999,852.09979248,820.8452148439999,834.0050048830001
1531743875.62316,850.454833984,850.454833984,820.8452148439999,822.49017334
1531743875.6277087,847.164855957,845.519897461,817.555236816,825.7801513669999
1531743875.6322572,847.164855957,842.229919434,815.91027832,829.070068359
1531743875.6368058,840.584960938,848.809875488,824.135131836,822.49017334
1531743875.6413546,840.584960938,842.229919434,825.7801513669999,822.49017334
1531743875.6459033,853.744812012,853.744812012,827.425109863,825.7801513669999
1531743875.6504517,863.614685059,861.969726562,822.49017334,830.715087891
1531743875.6550007,868.549621582,840.584960938,812.620300293,825.7801513669999
1531743875.659549,871.839599609,847.164855957,820.8452148439999,834.0050048830001
1531743875.6640975,881.7094726560001,850.454833984,825.7801513669999,830.715087891
1531743875.6686466,875.129516602,847.164855957,824.135131836,825.7801513669999
1531743875.6731946,876.7745361330001,848.809875488,824.135131836,838.940002441
1531743875.6777437,880.064453125,853.744812012,819.200195312,840.584960938
1531743875.6822922,880.064453125,852.09979248,824.135131836,835.650024414
1531743875.686841,875.129516602,850.454833984,829.070068359,838.940002441
1531743875.6913896,870.1945800780001,840.584960938,829.070068359,832.360046387
1531743875.695938,868.549621582,838.940002441,832.360046387,837.29498291
1531743875.7004867,857.0347290039999,838.940002441,832.360046387,837.29498291
1531743875.7050354,857.0347290039999,850.454833984,830.715087891,837.29498291
1531743875.7095842,858.679748535,850.454833984,829.070068359,834.0050048830001
1531743875.7141328,848.809875488,837.29498291,832.360046387,832.360046387
1531743875.7186813,861.969726562,835.650024414,835.650024414,840.584960938
1531743875.7232301,855.3897705080001,840.584960938,837.29498291,835.650024414
1531743875.7277787,857.0347290039999,847.164855957,837.29498291,829.070068359
1531743875.7323275,847.164855957,838.940002441,814.265258789,829.070068359
1531743875.736876,850.454833984,837.29498291,824.135131836,829.070068359
1531743875.7414243,863.614685059,840.584960938,830.715087891,830.715087891
1531743875.7459733,855.3897705080001,835.650024414,829.070068359,835.650024414
1531743875.7505221,863.614685059,838.940002441,830.715087891,837.29498291
1531743875.7550707,865.259643555,843.874938965,824.135131836,834.0050048830001
1531743875.7596192,863.614685059,842.229919434,834.0050048830001,838.940002441
1531743875.7641678,861.969726562,852.09979248,838.940002441,842.229919434
1531743875.7687163,861.969726562,845.519897461,835.650024414,838.940002441
1531743875.7732651,855.3897705080001,834.0050048830001,832.360046387,840.584960938
1531743875.7778141,857.0347290039999,842.229919434,830.715087891,824.135131836
1531743875.7823625,857.0347290039999,837.29498291,827.425109863,825.7801513669999
1531743875.786911,847.164855957,843.874938965,835.650024414,832.360046387
1531743875.7914598,847.164855957,835.650024414,827.425109863,829.070068359
1531743875.7960086,857.0347290039999,834.0050048830001,832.360046387,832.360046387
1531743875.8005571,857.0347290039999,838.940002441,840.584960938,832.360046387
1531743875.8051054,866.904663086,842.229919434,834.0050048830001,830.715087891
1531743875.8096542,866.904663086,847.164855957,834.0050048830001,838.940002441
1531743875.814203,870.1945800780001,843.874938965,838.940002441,842.229919434
1531743875.8187516,873.484558105,838.940002441,835.650024414,837.29498291
